Country,Coverage,Mortality,HIVPop,Prevalence,GDP,GDPPC,Code
Afghanistan,34,263,7500,0.1,19215562179,569.5779229,AFG
Albania,62,74,1700,0.1,11335264967,3934.895394,ALB
Algeria,76,109,13000,0.1,1.66E+11,4160.220067,DZA
Angola,36,335,280000,1.9,1.03E+11,3695.793748,AGO
Antigua and Barbuda,75,130,-1,-1,1364863037,13659.14791,ATG
Argentina,76,116,120000,0.4,5.85E+11,13467.10236,ARG
Armenia,67,118,3300,0.2,10553337673,3617.935746,ARM
Australia,100,59,25000,0.1,1.35E+12,56408.34043,AUS
Austria,100,65,-1,-1,3.82E+11,44255.58336,AUT
Azerbaijan,64,118,9200,0.1,53074370486,5500.310382,AZE
Bahamas,72,147,8200,3.3,11240000000,29056.09066,BHS
Bahrain,72,69,500,0.1,31125851064,22688.87824,BHR
Bangladesh,46,129,12000,0.1,1.95E+11,1210.158769,BGD
Barbados,79,98,2600,1.3,4584150000,16129.04928,BRB
Belarus,74,196,19000,0.4,56454734397,5949.106307,BLR
Belgium,100,74,-1,-1,4.55E+11,40375.38864,BEL
Belize,61,175,4300,1.8,1742545900,4849.997495,BLZ
Benin,41,249,67000,1,8290986804,783.947091,BEN
Bhutan,59,211,-1,-1,2059258653,2615.31022,BTN
Bolivia (Plurinational State of),60,186,19000,0.3,33000198263,3077.026199,BOL
Bosnia and Herzegovina,57,88,-1,-1,16209702864,4584.242548,BIH
Botswana,60,256,360000,21.9,14430573505,6532.044677,BWA
Brazil,77,142,830000,0.6,1.80E+12,8757.206202,BRA
Brunei Darussalam,100,78,-1,-1,12930394938,30967.89051,BRN
Bulgaria,64,137,3500,0.1,50199117547,6993.47736,BGR
Burkina Faso,39,260,95000,0.8,10419303761,575.3144542,BFA
Burundi,43,288,84000,1.1,3066681387,300.6765569,BDI
Cabo Verde,62,114,2800,0.8,1574288668,2954.119467,CPV
Cambodia,55,174,71000,0.6,18049954289,1163.18977,KHM
Cameroon,44,357,560000,3.8,30916218544,1353.92449,CMR
Canada,100,64,-1,-1,1.55E+12,43335.15911,CAN
Central African Republic,33,397,130000,4,1583776760,348.381417,CAF
Chad,29,356,110000,1.3,10888798114,777.2487051,TCD
Chile,70,82,61000,0.5,2.43E+11,13653.2264,CHL
China,76,85,-1,-1,1.11E+13,8069.213024,CHN
Colombia,76,143,120000,0.4,2.92E+11,6044.525655,COL
Comoros,47,227,200,0.1,565689764.6,727.6463868,COM
Congo,38,267,91000,3.1,8553154580,1712.121146,COG
Costa Rica,75,95,13000,0.4,54840103850,11406.36273,CRI
Cote d'Ivoire,44,397,460000,2.7,33145096414,1434.326615,CIV
Croatia,69,95,-1,-1,48921877448,11638.07948,HRV
Cuba,78,92,25000,0.4,87132800000,7602.261218,CUB
Cyprus,73,52,-1,-1,19676167240,23212.2247,CYP
Czechia,73,86,3400,0.1,1.87E+11,17715.61685,CZE
Democratic People's Republic of Korea,68,139,-1,-1,-1,-1,PRK
Democratic Republic of the Congo,40,258,370000,0.7,36188521107,474.9360481,COD
Denmark,100,71,-1,-1,3.01E+11,53012.99658,DNK
Djibouti,47,241,8600,1.3,1727000000,1862.167274,DJI
Dominican Republic,74,152,67000,1,68102618092,6468.471648,DOM
Ecuador,75,118,33000,0.3,99290381000,6150.155955,ECU
Egypt,68,159,11000,0.1,3.33E+11,3547.713012,EGY
El Salvador,77,178,24000,0.6,26052340000,4127.11775,SLV
Equatorial Guinea,45,320,35000,6.2,12597210658,10717.48218,GNQ
Eritrea,38,255,15000,0.6,-1,-1,ERI
Estonia,76,119,-1,-1,22566956982,17155.87418,EST
Ethiopia,39,225,710000,1.1,64464547915,645.4650067,ETH
Fiji,66,188,1000,0.1,4391113415,4921.950723,FJI
Finland,79,76,-1,-1,2.32E+11,42419.56557,FIN
France,100,78,180000,0.4,2.43E+12,36526.77011,FRA
Gabon,52,229,48000,3.6,14262032471,7388.984144,GAB
Gambia,46,262,20000,1.7,907652509.5,458.9690024,GMB
Georgia,66,129,12000,0.5,13993546732,3764.640912,GEO
Germany,79,68,-1,-1,3.38E+12,41323.9215,DEU
Ghana,45,249,290000,1.6,37543361204,1361.113905,GHA
Greece,70,72,-1,-1,1.96E+11,18070.77678,GRC
Grenada,72,142,-1,-1,997007925.9,9333.270231,GRD
Guatemala,57,186,46000,0.5,63767597194,3923.573344,GTM
Guinea,35,284,120000,1.5,8767143623,725.0646897,GIN
Guinea-Bissau,39,275,36000,3.1,1036130507,585.2105569,GNB
Guyana,68,215,8500,1.6,3197225182,4160.269275,GUY
Haiti,47,240,150000,2.1,8724656126,814.5463952,HTI
Honduras,64,147,21000,0.4,20844284855,2326.155856,HND
Hungary,70,134,-1,-1,1.23E+11,12483.86594,HUN
Iceland,100,49,-1,-1,16783714958,50734.4436,ISL
India,56,181,2100000,0.3,2.09E+12,1596.470003,IND
Indonesia,49,176,620000,0.4,8.61E+11,3336.106686,IDN
Iran (Islamic Republic of),65,83,66000,0.1,3.86E+11,4862.299729,IRN
Iraq,63,182,-1,-1,1.80E+11,4974.02693,IRQ
Ireland,78,64,6200,0.2,2.91E+11,62544.63129,IRL
Israel,100,58,-1,-1,2.99E+11,35691.26916,ISR
Italy,100,56,130000,0.3,1.83E+12,30171.74199,ITA
Jamaica,60,125,30000,1.7,14186886643,4939.837281,JAM
Japan,100,55,-1,-1,4.38E+12,34474.13736,JPN
Jordan,70,112,500,0.1,37517410282,4096.099275,JOR
Kazakhstan,71,198,26000,0.2,1.84E+11,10509.98107,KAZ
Kenya,57,249,1600000,5.4,63767539357,1349.970144,KEN
Kiribati,40,198,-1,-1,169140538.7,1504.715353,KIR
Kuwait,77,81,500,0.1,1.15E+11,29109.06874,KWT
Kyrgyzstan,66,166,8500,0.2,6678178340,1121.082835,KGZ
Lao People's Democratic Republic,48,194,11000,0.3,14390391264,2159.433152,LAO
Latvia,64,153,6600,0.7,27009231911,13658.08503,LVA
Lebanon,68,98,2200,0.1,49459296463,8452.443641,LBN
Lesotho,45,484,330000,25,2505886025,1152.319585,LSO
Liberia,34,259,43000,1.6,2034000000,452.0380717,LBR
Libya,63,138,-1,-1,-1,-1,LBY
Lithuania,67,165,2900,0.2,41402022148,14252.42853,LTU
Luxembourg,100,63,-1,-1,57784495265,101446.7863,LUX
Madagascar,30,220,31000,0.2,9744243420,402.0883072,MDG
Malawi,44,365,1000000,9.2,6373201160,362.6575444,MWI
Malaysia,70,123,97000,0.4,2.96E+11,9648.553455,MYS
Maldives,55,61,-1,-1,4006531188,9575.7707,MDV
Mali,32,266,110000,1,13100058100,749.9501571,MLI
Malta,79,54,500,0.1,10285547954,23816.08514,MLT
Mauritania,33,205,11000,0.5,4844223107,1158.256371,MRT
Mauritius,64,146,-1,-1,11692287066,9260.447303,MUS
Mexico,76,122,220000,0.3,1.15E+12,9152.872306,MEX
Micronesia (Federated States of),60,166,-1,-1,315179700,3018.008675,FSM
Mongolia,63,222,500,0.1,11749620620,3946.962075,MNG
Montenegro,54,106,500,0.1,4052913386,6514.272695,MNE
Morocco,65,95,22000,0.1,1.01E+11,2864.092915,MAR
Mozambique,42,355,1800000,12.3,14798439527,528.3139758,MOZ
Myanmar,60,199,230000,0.8,59687373958,1138.992271,MMR
Namibia,59,248,230000,13.8,11571141027,4770.500939,NAM
Nepal,46,165,32000,0.2,21410840909,747.1604624,NPL
Netherlands,100,57,23000,0.2,7.58E+11,44746.33405,NLD
New Zealand,100,66,-1,-1,1.76E+11,38201.57455,NZL
Nicaragua,70,145,8900,0.2,12747741540,2095.966488,NIC
Niger,33,220,48000,0.4,-1,-1,NER
Nigeria,39,344,3200000,2.9,4.81E+11,2655.157977,NGA
Norway,100,59,-1,-1,3.87E+11,74498.13764,NOR
Oman,72,99,-1,-1,69831770871,16627.3643,OMN
Pakistan,40,161,130000,0.1,2.71E+11,1428.637628,PAK
Panama,75,118,21000,0.8,52132289700,13134.04367,PAN
Papua New Guinea,41,275,46000,0.9,21060901604,2659.263507,PNG
Paraguay,69,146,19000,0.5,27282581336,4109.367724,PRY
Peru,78,123,70000,0.3,1.89E+11,6030.343259,PER
Philippines,58,211,56000,0.1,2.93E+11,2878.33837,PHL
Poland,75,117,-1,-1,4.77E+11,12564.48353,POL
Portugal,100,76,-1,-1,1.99E+11,19252.63495,PRT
Qatar,77,68,100,0.1,1.65E+11,66346.52267,QAT
Republic of Korea,100,64,-1,-1,1.38E+12,27105.07623,KOR
Republic of Moldova,65,157,15000,0.6,6512899540,1832.499052,MDA
Romania,72,133,16000,0.1,1.78E+11,8978.389254,ROU
Russian Federation,63,222,-1,-1,1.37E+12,9329.290713,RUS
Rwanda,53,227,220000,3.1,8261034258,710.3483907,RWA
Saint Lucia,69,138,-1,-1,1649142630,9306.358868,LCA
Saint Vincent and the Grenadines,65,156,-1,-1,755205755.9,6899.691708,VCT
Samoa,56,125,-1,-1,803985809.2,4149.411429,WSM
Sao Tome and Principe,54,190,-1,-1,315880811.1,1615.320711,STP
Saudi Arabia,68,88,8200,0.1,6.52E+11,20653.24205,SAU
Senegal,41,188,41000,0.4,13640668374,910.7747772,SEN
Serbia,65,121,2700,0.1,37160332465,5237.255334,SRB
Seychelles,68,168,-1,-1,1437722206,15390.04064,SYC
Sierra Leone,36,413,67000,1.7,4251869870,587.5162611,SLE
Singapore,100,55,-1,-1,2.97E+11,53629.73746,SGP
Slovakia,76,109,1000,0.1,87501423882,16132.86031,SVK
Slovenia,78,74,1000,0.1,43072415017,20873.16111,SVN
Solomon Islands,50,177,-1,-1,1129164719,1922.041388,SLB
Somalia,22,312,24000,0.4,5925000000,426.0098537,SOM
South Africa,67,328,7100000,18.9,3.18E+11,5744.324157,ZAF
South Sudan,30,332,200000,2.7,9015221096,758.7205782,SSD
Spain,77,56,140000,0.4,1.20E+12,25789.51955,ESP
Sri Lanka,62,138,4000,0.1,80611989527,3891.659451,LKA
Sudan,43,225,56000,0.2,97156119150,2513.884661,SDN
Suriname,68,176,4900,1.4,4826587058,8724.723897,SUR
Swaziland,58,373,220000,27.2,4020275298,3047.946756,SWZ
Sweden,100,53,11000,0.2,4.98E+11,50812.19086,SWE
Switzerland,100,49,-1,-1,6.79E+11,82016.02131,CHE
Syrian Arab Republic,60,293,-1,-1,-1,-1,SYR
Tajikistan,65,161,14000,0.3,7853450374,918.6771543,TJK
Thailand,75,148,450000,1.1,3.99E+11,5814.863134,THA
The former Yugoslav republic of Macedonia,70,102,500,0.1,10051659161,4834.136723,MKD
Timor-Leste,47,152,-1,-1,1606500000,1294.54454,TLS
Togo,42,287,100000,2.1,4087628276,551.1308346,TGO
Tonga,62,133,-1,-1,435438217.3,4093.849585,TON
Trinidad and Tobago,75,170,11000,1.2,23559224762,17321.78762,TTO
Tunisia,65,100,2900,0.1,43156708809,3828.100633,TUN
Turkey,71,106,-1,-1,8.60E+11,10984.77076,TUR
Turkmenistan,67,215,-1,-1,35799628571,6432.668768,TKM
Uganda,44,291,1400000,6.5,27059447775,674.044972,UGA
Ukraine,63,195,240000,0.9,91030959455,2124.662666,UKR
United Arab Emirates,63,75,-1,-1,3.58E+11,39101.74689,ARE
United Kingdom of Great Britain and Northern Ireland,100,69,-1,-1,2.89E+12,44305.55463,GBR
United Republic of Tanzania,39,279,1400000,4.7,45628320606,872.2954949,TZA
United States of America,100,103,-1,0.5,1.81E+13,56469.00897,USA
Uruguay,79,116,12000,0.6,53274304215,15524.84247,URY
Uzbekistan,72,184,-1,-1,66903804143,2137.576852,UZB
Vanuatu,56,130,-1,-1,742432131,2805.83414,VUT
Venezuela (Bolivarian Republic of),73,157,120000,0.6,-1,-1,VEN
Viet Nam,73,127,250000,0.4,1.93E+11,2065.169099,VNM
Yemen,39,224,9900,0.1,37733919936,1401.903319,YEM
Zambia,56,303,1200000,12.4,21154394546,1313.889646,ZMB
Zimbabwe,55,336,1300000,13.5,16304667807,1033.415842,ZWE
,,,,,1.81E+13,,
